,City,City ID,Latitude,Longitude,Temperature,Weather Description,Humidity,Cloudiness,Wind Speed,Country
90,Necochea,2010353,-38.5473,-58.7368,48.038000000000046,overcast clouds,79,95,6.2858014,AR
91,Longyearbyen,1663,78.2186,15.6401,30.038000000000046,broken clouds,86,75,4.608096400000001,SJ
92,Ilulissat,165,69.2167,-51.1,28.418000000000085,scattered clouds,74,40,3.4448876000000004,GL
93,San Carlos De Bariloche,8315,-41.1456,-71.3082,37.148000000000025,few clouds,52,20,18.4100162,AR
94,College,7683,64.8569,-147.8028,55.31000000000009,broken clouds,59,75,0.0,US
95,Corner Brook,2005768,48.9667,-57.9484,57.21800000000009,overcast clouds,91,99,6.7331894,CA
96,Soledad,8584,10.9184,-74.7646,77.12600000000009,scattered clouds,94,40,2.3040482000000004,CO
97,Romitan,9009,39.9343,64.3814,60.74600000000005,clear sky,51,0,6.9121446,UZ
98,Seoul,5509,37.5683,126.9778,80.13200000000002,few clouds,43,23,5.9502604,KR
99,Fortuna,2008778,40.5982,-124.1573,55.346000000000046,clear sky,62,1,1.006623,US
100,Visby,1796,57.6409,18.296,48.41600000000001,overcast clouds,93,100,4.608096400000001,SE
101,Harindanga,9114,22.0383,88.3214,80.58200000000002,moderate rain,91,100,16.6204642,IN
102,Homer,7709,59.6425,-151.5483,51.09800000000003,few clouds,81,20,6.9121446,US
103,Tasiilaq,81,65.6145,-37.6368,41.162000000000056,overcast clouds,91,85,5.6818276,GL
104,Port Elizabeth,2035063,-33.918,25.5701,56.102000000000075,light rain,92,100,3.8699062000000004,ZA
105,Lata,2013564,40.1629,-8.3327,65.39000000000001,scattered clouds,95,32,3.1093466,PT
106,Nysa,2004452,50.4738,17.3344,58.92800000000007,scattered clouds,88,34,1.677705,PL
107,Bad Liebenwerda,2021468,51.5167,13.4,53.150000000000006,scattered clouds,91,31,4.7646822,DE
108,Hauknes,19240,66.2833,14.0667,38.78600000000007,overcast clouds,94,100,4.0712308,NO
